product,price,link,years,kilometraje,_created,id,location_city,location_state
Byd Song Plus Dm-i 1.5 Hibrida Enchufable,183900000,https://carro.mercadolibre.com.co/MCO-1402361017-byd-song-plus-dm-i-15-hibrida-enchufable-_JM#position=37&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2024,5800,2024-03-14,1402361017,Suba,Bogotá D.C.
Mazda 3 2.0 Grand Touring,64900000,https://carro.mercadolibre.com.co/MCO-2261428954-mazda-3-20-grand-touring-2016-_JM#position=38&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2016,59000,2024-03-14,2261428954,Envigado,Antioquia
Chevrolet Tracker 1.8 Lt,72000000,https://carro.mercadolibre.com.co/MCO-1402359669-chevrolet-tracker-_JM#position=39&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2018,47000,2024-03-14,1402359669,Usaquén,Bogotá D.C.
Kia Picanto 1.2 Vibrant,59500000,https://carro.mercadolibre.com.co/MCO-2261401840-kia-picanto-_JM#position=40&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2024,3600,2024-03-14,2261401840,Suba,Bogotá D.C.
Nissan X-trail 2.5 Kapital,63000000,https://carro.mercadolibre.com.co/MCO-2261478326-nissan-x-trail-t-31-2015-_JM#position=41&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2015,81000,2024-03-14,2261478326,Kennedy,Bogotá D.C.
Mercedes-benz C 200 Coupe,140000000,https://carro.mercadolibre.com.co/MCO-2261425730-mercedes-benz-c-200-coupe-2019-_JM#position=42&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2019,10500,2024-03-14,2261425730,Usaquén,Bogotá D.C.
Bmw X4 2.0 Xdrive20d Xline,184500000,https://carro.mercadolibre.com.co/MCO-2261193834-bmw-x4-20-xdrive-20d-xline-2019-_JM#position=43&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2019,42333,2024-03-14,2261193834,Medellín,Antioquia
Ford Escape 2.0 Se 4x4,66200000,https://carro.mercadolibre.com.co/MCO-2261437046-ford-escape-4x4-20-_JM#position=44&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2016,91500,2024-03-14,2261437046,Kennedy,Bogotá D.C.
Suzuki Ertiga 1.4 Mpv,49000000,https://carro.mercadolibre.com.co/MCO-2261436920-suzuki-ertiga-mt-_JM#position=45&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2016,58000,2024-03-14,2261436920,Ciudad Bolívar,Bogotá D.C.
Bmw X3 2.0 Xdrive30e Tp Hibrida Enchufable.,280000000,https://carro.mercadolibre.com.co/MCO-2261179764-bmw-x3-20-xdrive30e-tp-hibrida-enchufable-_JM#position=46&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2023,6800,2024-03-14,2261179764,Chapinero,Bogotá D.C.
Mercedes-benz Clase Cla 180 Amg Line 1.3,130000000,https://carro.mercadolibre.com.co/MCO-2261397586-mercedes-benz-clase-cla-180-amg-line-_JM#position=47&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2020,40000,2024-03-14,2261397586,Suba,Bogotá D.C.
